DPTO_NORM,POB_PROXY,IC_PRES_PROXY,CUARTIL_PROXY,POB_REAL,IC_PRES_REAL,CUARTIL_REAL,DIF_POB_ABS,DIF_POB_PCT,DIF_IC_PRES,CAMBIO_CUARTIL
NEEMBUCU,19569.14277575274,86.8714598018261,Q4,16145.0,105.29575720037163,Q4,-3424.1427757527417,-17.49766361761868,18.42429739854552,False
ASUNCION,117906.38728094373,225.77233188029652,Q4,103630.0,256.87542217504586,Q4,-14276.38728094373,-12.108239095585544,31.103090294749336,False
PARAGUARI,51135.5099850194,81.93914563925337,Q3,44984.0,93.14422905922106,Q3,-6151.509985019402,-12.029820347585348,11.205083419967693,False
CAAZAPA,35577.68564787362,73.92273983277458,Q3,32527.0,80.85590432563716,Q3,-3050.6856478736227,-8.574716405298144,6.9331644928625735,False
GUAIRA,45800.0942543605,89.51946642794628,Q4,42398.0,96.70267465446483,Q4,-3402.094254360498,-7.428138107022769,7.183208226518545,False
SAN PEDRO,90596.46613456875,63.357879671310904,Q2,86568.0,66.30625635338693,Q2,-4028.466134568749,-4.446604052507975,2.9483766820760238,False
MISIONES,28349.609176119488,120.28384514282617,Q4,27154.0,125.58002504235104,Q4,-1195.6091761194875,-4.217374457234557,5.296179899524873,False
CORDILLERA,68369.69097856381,61.138202325802084,Q2,66395.0,62.95654793282627,Q2,-1974.6909785638127,-2.8882549420662795,1.8183456070241846,False
CAAGUAZU,110069.95557098041,86.21789616222947,Q3,107197.0,88.52859688237544,Q3,-2872.9555709804117,-2.6101178619334857,2.3107007201459737,False
CONCEPCION,52591.73642314779,67.69124280964219,Q2,51340.0,69.34164394234516,Q2,-1251.7364231477914,-2.3801009593530944,1.6504011327029673,False
ITAPUA,114692.69015465547,103.23238546444892,Q4,113044.0,104.73797813240861,Q4,-1648.6901546554727,-1.4374849455813825,1.5055926679596894,False
ALTO PARAGUAY,4386.0244532523675,4.559938097282929,Q1,4373.0,4.5735193231191404,Q1,-13.024453252367493,-0.29695350290875544,0.013581225836211352,False
CENTRAL,480543.7563327928,47.61272974308468,Q1,495995.0,46.129497273157995,Q1,15451.243667207193,3.215366647383237,-1.4832324699266835,False
AMAMBAY,45763.61844762511,55.065575788856236,Q1,47769.0,52.753878038058154,Q1,2005.3815523748926,4.382043248328326,-2.311697750798082,False
PRESIDENTE HAYES,31454.13395777314,32.7460931330287,Q1,32994.0,31.217797175243984,Q1,1539.8660422268586,4.895591925354274,-1.5282959577847173,False
ALTO PARANA,194801.7241638697,64.88648934835439,Q2,204454.0,61.82319739403484,Q2,9652.275836130313,4.954923205921266,-3.0632919543195456,False
CANINDEYU,48748.51278620953,29.94963162061878,Q1,51743.0,28.216377094486212,Q1,2994.4872137904676,6.142725270251892,-1.7332545261325691,False
BOQUERON,18130.261476491523,79.42521964546215,Q3,19313.0,74.56117640967224,Q3,1182.7385235084766,6.523560209222941,-4.864043235789907,False
