,C_TOTAL,IC_PRES,IC_SEMI,IC_VIRT
C_TOTAL,1.0,0.5894943484841616,0.48002804178161834,0.31226372199143937
IC_PRES,0.5894943484841616,1.0,0.9387753789311872,0.8604928420707122
IC_SEMI,0.48002804178161834,0.9387753789311872,1.0,0.9138404831644681
IC_VIRT,0.31226372199143937,0.8604928420707122,0.9138404831644681,1.0
