,count,mean,std,min,25%,50%,75%,max,IQR
POB_TOTAL,18.0,339439.05555555556,427057.50080060126,17195.0,127354.5,195793.0,412433.0,1883927.0,285078.5
POB_15_29_EST,18.0,86001.27777777778,112862.49928944283,4373.0,32643.75,49554.5,99364.5,495995.0,66720.75
C_TOTAL,18.0,720.5555555555555,821.1186933061091,2.0,208.75,409.0,912.25,2942.0,703.5
C_PRES,18.0,663.6111111111111,751.4543654798293,2.0,190.5,383.0,855.25,2662.0,664.75
C_SEMI,18.0,38.55555555555556,44.83593913267009,0.0,12.0,23.0,46.5,176.0,34.5
C_VIRT,18.0,5.833333333333333,7.493134112207617,0.0,2.0,3.5,5.75,32.0,3.75
IC_TOTAL,18.0,87.77084240089505,59.66753251631768,4.5735193231191404,57.47705640988189,77.0083655208133,104.37923305164645,283.8946251085593,46.90217664176456
IC_PRES,18.0,80.53335991156703,53.537196564591845,4.5735193231191404,55.021207877052326,71.9514101760087,95.81306325565389,256.87542217504586,40.79185537860156
IC_SEMI,18.0,5.05520965253761,4.1071418162940905,0.0,2.3005755180858087,3.6375294586371627,6.836377683992177,16.98349898677989,4.535802165906368
IC_VIRT,18.0,0.8944542990513918,0.8634871630788474,0.0,0.3247040064585175,0.5973311837938913,1.09252270866159,3.087908906687253,0.7678187022030726
DIVERSIDAD,18.0,0.4449859146151913,0.1313186175631443,0.0,0.4200545617430712,0.4822011187462087,0.5154312531377454,0.6101167658586151,0.0953766913946742
SCORE_PERTINENCIA,18.0,0.8935185185185185,0.2247103356123377,0.3333333333333333,1.0,1.0,1.0,1.0,0.0
